Year,Count
2006,105
2007,142
2008,195
2009,249
2010,322
2011,310
2012,408
2013,522
2014,589
2015,667
2016,815
2017,1027
2018,1365
2019,1956
2020,3040
2021,4609
2022,6065
2023,6565
2024,1792
