Year,Count
2006,2
2007,2
2008,5
2009,9
2010,16
2011,13
2012,17
2013,32
2014,34
2015,41
2016,35
2017,47
2018,66
2019,77
2020,131
2021,201
2022,234
2023,279
2024,75
