Year,Count
2006,2
2007,5
2008,5
2009,9
2010,17
2011,19
2012,29
2013,35
2014,58
2015,79
2016,86
2017,110
2018,174
2019,275
2020,394
2021,618
2022,791
2023,849
2024,211
