Year,Count
2006,13
2007,17
2008,18
2009,19
2010,32
2011,26
2012,40
2013,55
2014,71
2015,65
2016,71
2017,99
2018,118
2019,188
2020,236
2021,348
2022,411
2023,516
2024,126
