Year,Count
2006,35
2007,48
2008,63
2009,77
2010,117
2011,106
2012,130
2013,142
2014,186
2015,203
2016,222
2017,274
2018,346
2019,459
2020,698
2021,1042
2022,1371
2023,1554
2024,434
