Year,Count
2006,64
2007,78
2008,120
2009,143
2010,164
2011,194
2012,207
2013,231
2014,258
2015,269
2016,281
2017,339
2018,401
2019,496
2020,702
2021,1130
2022,1508
2023,1682
2024,470
